12594..12599 fk_fb_enter
12600..12641 fk_fb_read_node
12643..12662 fk_fb_read_node_v1
12663..12695 fk_fb_deserialize
12696..12710 fk_value_kind
12711..12774 fk_fb_door
12782..12786 fk_mono_ns
12796..12802 fk_tty_restore
12803..12817 fk_tty_signal
12818..12822 fk_tty_ready
12824..12824 fk_tty_restore
12825..12825 fk_tty_ready
12827..12869 fk_tty_door
12870..12936 fk_rest_arm
12938..12955 fk_prog_map
12956..13003 fk_prog_read
13004..15433 fk_walk_cold
15455..15492 fk_srctext_reserve
15499..15559 fk_diag
15565..15569 fk_diag_flush
15583..15680 fk_heat_write
15681..15689 fk_heat_report
15690..15695 fk_heat_pulse
15696..15698 fk_sws
15699..15712 fk_sskip
15713..15722 fk_sym_eq
15725..15737 fk_sym_eq2
15738..15747 fk_sym_end
15760..15769 fk_optname_eq
15771..15780 fk_optab_find
15782..15791 fk_rwtab_find
15802..15814 fk_reserved_head
15834..15841 fk_divergent_param_name
15842..15853 fk_smknode
15854..15856 fk_smklit
15864..15902 fk_rw_build
15908..15949 fk_smkstr
15956..15965 fk_bd_lookup
15966..15984 fk_bd_push
15985..15989 fk_bd_pop
16025..16051 fk_bd_save
16052..16063 fk_bd_restore
16073..16082 fk_enc_lookup
16118..16127 fk_fn_lookup
16130..16139 fk_const_lookup
16140..16171 fk_const_set
16180..16190 fk_wrap_cap_prologue
16192..16967 fk_sparse
16970..17131 fk_parse_do
17136..17202 fk_parse_top_do_value
17206..17213 fk_parse_fixed_list
17219..17230 fk_parse_variadic
17238..17240 fk_parse_record_entry
17241..17265 fk_parse_record_fields
17266..17278 fk_parse_record_new
17290..17305 fk_sskip_at
17306..17353 fk_skip_balanced
17355..17411 fk_prescan_form
17412..17426 fk_prescan_seq
17427..17436 fk_prescan_defns
17441..17634 fk_parse_top
17635..17641 fk_path_len
17642..17656 fk_path_has_suffix
17657..17680 fk_path_replace_ext
17681..17692 fk_path_mtime_raw
17693..17709 fk_path_size_raw
17710..17722 fk_write_all_raw
17723..17733 fk_diag_path
17754..17763 fk_bytes_fnv1a
17787..17810 fk_src_root_reserve
17814..17885 fk_src_dep_reserve
17887..17902 fk_src_dep_release
17904..17914 fk_cstr_copy
17915..17924 fk_cstr_eq
17925..17934 fk_src_dep_index
17935..17945 fk_path_is_abs
17946..17956 fk_path_dir_len
17960..17973 fk_path_repo_prefix_len
17984..17996 fk_path_canon_id
17997..18123 fk_path_resolve_fk_dep
18124..18136 fk_source_hash_append
18137..18141 fk_source_hash_append_ll
18142..18152 fk_src_unit_mtime_range
18153..18155 fk_src_unit_mtime
18156..18191 fk_src_unit_hash_range
18192..18194 fk_src_unit_hash
18196..18226 fk_src_append_text
18230..18235 fk_ascii_lower_char
18236..18245 fk_slice_eq_word_ci
18246..18255 fk_src_prelude_none_token
18256..18258 fk_src_prelude_backslash_token
18259..18262 fk_src_prelude_fk_token
18265..18268 fk_src_prelude_bml_token
18271..18284 fk_src_trim_import_token
18285..18300 fk_src_collect_import_token
18301..18311 fk_src_word_at_ci
18312..18342 fk_src_collect_import_statement
18343..18377 fk_src_line_is_bare_import_fk
18378..18529 fk_src_collect_preludes
18532..18573 fk_src_collect_file
18578..18621 fk_src_collect_bytes
18622..18641 fk_src_load_unit
18645..18665 fk_src_load_unit_buffer
18678..18685 fk_fkb_flush
18686..18703 fk_fkb_out
18704..18707 fk_fkb_write_u8
